Requester,Testing Purpose,Windows Version,Memory Count,Times,Retry Times,SSID,Platform,HW Phase,Test Date,BIOS,CPU,RAM,GPU,Graphics Driver,OGH Version,OGH Profile,OGH Power Mode,OGH Graphics Mode,OGH Booster Optimizer,Note,Game Title,Video Resolution,Super Resolution Mode,Super Resolution Quality,Frame Generation Mode,Frame Generation Quality,Ray Tracing,Graphics Preset,Average FPS(In Game),1% Low Average FPS(In Game),Average FPS(CapFrameX),1% Low Average FPS(CapFrameX),Stuttering(s),Sensor Data - CPU Power(W),Sensor Data - CPU temp('C),Sensor Data - GPU Power(W),Sensor Data - GPU Temp('C)
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,disable,,disable,low,125,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,enable,,disable,low,256,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,2x,,disable,low,167,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,3x,,disable,low,219,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,4x,,disable,low,256,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,disable,,low,low,56,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,enable,,low,low,160,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,2x,,low,low,94,,,,,,,,
,,26200.8875,2,1,1,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,3x,,low,low,129,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,4x,,low,low,160,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,disable,,medium,low,54,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,enable,,medium,low,155,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,2x,,medium,low,91,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,3x,,medium,low,125,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,4x,,medium,low,155,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,disable,,disable,medium,99,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,enable,,disable,medium,220,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,2x,,disable,medium,138,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,3x,,disable,medium,184,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,4x,,disable,medium,220,,,,,,,,
,,26200.8875,2,1,,8F1C,,,,F.05,Intel(R) Core(TM) Ultra 9 290HX Plus,64856 MB,NVIDIA GeForce RTX 5070 Laptop GPU,592.47,,,,,,,Black Myth: Wukong,2560x1440,dlss,quality,disable,,low,medium,54,,,,,,,,
