,CPU,Memory,GPU,Graphic Driver,Power Mode,comment,Game Title,Cyberpunk 2077,,,,Counter Strike 2,,,,Shadows of the Tomb Raider,,,,3DMark Time Spy,
,,,,,,,Resolution,FHD,FHD,QHD,QHD,FHD,FHD,QHD,QHD,FHD,FHD,QHD,QHD,Overall,Graphics
,,,,,,,Super Resolution,Quality,OFF,Quality,OFF,OFF,OFF,OFF,OFF,FSR(Intel XeSS),OFF,FSR(Intel XeSS),OFF,,
,,,,,,,Frame Generation,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,
,,,,,,,Preset,High,High,High,High,Low,High,Low,High,High,High,High,High,,
Mint,Ryzen AI Max 395,LPDDR5-8000 128GB,Radeon 8060S,,55W,Strix Halo,,102,82,75,53,404,223,342,137,116,130,90,85,8063,7775
Mint,Ryzen AI Max 395,LPDDR5-8000 128GB,Radeon 8060S,,75W,Strix Halo,,114,90,81,58,444,250,372,172,121,135,92,91,9279,9075
Mint,Ryzen AI Max 395,LPDDR5-8000 128GB,Radeon 8060S,,95W,Strix Halo,,121,93,83,61,474,277,407,184,132,141,96,96,10012,9879
Mint,Ryzen AI Max 395,LPDDR5-8000 128GB,Radeon 8060S,,120W,Strix Halo,,121,94,85,61,477,279,408,185,140,145,98,95,10606,10539
Nafisa,N1x,LPDDR5-9400 64GB,N1x,,65W,N1x,,84,78,70,59,165,127,133,107,,99,,89,,
Nafisa,N1x,LPDDR5-9400 64GB,N1x,,85W,N1x,,89,84,75,63,127,131,144,109,,99,,90,,
Trekker,X7-358,LPDDR5-8533 64GB,B390,,65W,B390,,75,57,52,37,349,173,269,115,101,74,73,56,,
Trekker,X7-358,LPDDR5-8533 64GB,B390,,80W,B390,,74,58,53,37,342,172,261,114,102,74,73,56,,
Nafisa,N1x,LPDDR5-9400 64GB,N1x,,DC-70-50,N1x,,78,71,65,55,102,114,129,100,,,,,,
Nafisa,N1x,LPDDR5-9400 64GB,N1x,,DC-50-35,N1x,,64,56,51,40,160,114,131,90,,,,,,
VibranceHX,Ryzen 9 475HX,DDR5-7200 32GB-D,Radeon 890M,,45W,Radeon 890M,,28,28,18,18,234,121,162,77,50,51,34,31,,2808
VibranceHX,Ryzen 9 475HX,DDR5-7200 32GB-D,Radeon 890M,,65W,Radeon 890M,,29,28,18,18,237,122,164,78,51,50,33,31,,4309
Chiron,Ryzen AI Max 380,LPDDR5-8000 16GB-4chip,Radeon 8040S,,65W,Radeon 8040S,,38,30,27,16,86,41,60,32,54,57,35,34,4270,4007
Chiron,Ryzen AI Max 380,LPDDR5-8000 16GB-4chip,Radeon 8040S,,70W,Radeon 8040S,,40,30,26,15,79,42,54,29,57,57,36,34,4038,3769
Roku,i7-14650HX,DDR5-5600 16GB-D,RTX3050,,70W,RTX3050,,57,46,41,29,143,75,116,48,82,80,91,53,,5085
VibranceHX,Ryzen 9 475HX,DDR5-5600 16GB-S,Radeon 890M,,45W,Radeon 890M,,19,14,13,9,48,22,29,15,23,23,15,15,,
VibranceHX,Ryzen 9 475HX,DDR5-5600 16GB-S,Radeon 890M,,65W,Radeon 890M,,19,16,13,9,45,22,28,14,22,23,14,14,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,,
